Krenak,Portugues,Ortografia Alternativa,Notas,Fonte
kjep,senta-te,,,Rudolph (1909)
kjojek tarek,cansado,,,Rudolph (1909)
kjok kok mak,axila,,,Rudolph (1909)
kjok man jium,vomitar,,,Rudolph (1909)
kjon jon,orelha,,,Rudolph (1909)
kjon ma,buraco na orelha,,,Rudolph (1909)
kjon ma kat,botoque de orelha,,,Rudolph (1909)
kjon niek,rim,,,Rudolph (1909)
kjopu jaka,avô,,,Rudolph (1909)
kjuk,igual a kjak,,igual a kjak,Rudolph (1909)
klampat,escaravelho,,,Rudolph (1909)
klao wak,"taboca, espécie de taquara",,,Rudolph (1909)
kle,aqui,,(kre),Rudolph (1909)
klei,pessoas,,(krei),Rudolph (1909)
klen brukukuk,pica-pau vermelho,,(que vem vermelho),Rudolph (1909)
kli,ver krahi,,ver krahi,Rudolph (1909)
klischum,"tomar banho, lavar, alisar",,,Rudolph (1909)
kliwom,"pavão, Coracina ovata",,(que vem mal-cheiroso),Rudolph (1909)
klowum,laranja,,wum=wäom,Rudolph (1909)
kluwim,espécie de peixe,,,Rudolph (1909)
kma,buraco,,,Rudolph (1909)
kma kma,"papagaio, girú",,,Rudolph (1909)
kma pehek um,ele abriu a boca,,,Rudolph (1909)
kmak,perna,,,Rudolph (1909)
kmak atan,perna partida,,(itan),Rudolph (1909)
kmak jokop,pontapé,,,Rudolph (1909)
kmak nek,"jabuticaba, Myrciaria jaboticaba",,(doce para a boca),Rudolph (1909)
kmani,deixa-me em paz,,,Rudolph (1909)
kmari,"imbé, Philodendron imbé",,,Rudolph (1909)
kmek kmek,"muito curto, pequeno",,,Rudolph (1909)
kminjan porum jipo,bêbado,,(embriagado com a água forte),Rudolph (1909)
kmok hira,esperma hominis,,(este é o agradecimento),Rudolph (1909)
kmok nek,"inga-cipó, Inga edulis",,(os frutos são envolvidos com uma massa doce semelhante a esperma),Rudolph (1909)
kmontjak,flecha para caçar aves,,,Rudolph (1909)
kmum ak,cego,,(a sua visão está completamente passada),Rudolph (1909)
kmum mum,ir,,,Rudolph (1909)
kmum nuk,"ele não vai, não vás",,,Rudolph (1909)
kmum un,ele fugiu,,un=um,Rudolph (1909)
kmuma kuip,"acordado, vigiar",,,Rudolph (1909)
kmumé te kuip,se deitar,,,Rudolph (1909)
kna,azedo,,,Rudolph (1909)
kna at,"cascudo, gênero Polyborus",,(nascimento difícil devido aos barros queixosos),Rudolph (1909)
knak ta,nascimento,,,Rudolph (1909)
knan,"pequena moça, também usual como nome",,,Rudolph (1909)
knan rek,muar,,(nascido pequeno),Rudolph (1909)
knan waha,masculino,,,Rudolph (1909)
knanra knium,"direito, em pé, vertical",,,Rudolph (1909)
knanta,nascimento,,,Rudolph (1909)
knantscha,se levantar,,,Rudolph (1909)
knarap,lagarto grande verde,,,Rudolph (1909)
knem,"tapicuru, jacarandá, porque a madeira destes serve para a produção do arco",,knem=tnem,Rudolph (1909)
knem kuntschak,"imbaúba, Cecropia peltata",,(a ráfia fornece a corda de arco),Rudolph (1909)
kriknin,criança,,,Rudolph (1909)
kruknin,criança,,,Rudolph (1909)
kum te mum,"corre, corram",,,Rudolph (1909)
numrin,"mesmo, próprio",,,Rudolph (1909)
schum,irônico,,,Rudolph (1909)
te mim,"peito, tórax",,,Rudolph (1909)
tschim kupan,fígado,,,Rudolph (1909)
tschin jek,osso,,,Rudolph (1909)
tschin jep,"caçar, animal selvagem que pode ser caçado",,,Rudolph (1909)
tschin jitschok,carne assada quente,,,Rudolph (1909)
tschin johok,pulmão,,,Rudolph (1909)
tschin juk,cauda,,,Rudolph (1909)
tschin jun,um pedaço de carne,,,Rudolph (1909)
tschin kampo,carne,,,Rudolph (1909)
tschin kan,correr,,,Rudolph (1909)
tschin kao,estômago,,kao = tao,Rudolph (1909)
tschin ketot,cozinhar,,,Rudolph (1909)
tschin kinta,"tombar, cair, virar",,,Rudolph (1909)
tschin koém,matar com a flecha,,,Rudolph (1909)
tschin koém um,"atirar com a flecha, matar",,,Rudolph (1909)
tschin koto,pintar de vermelho,,,Rudolph (1909)
tschin kren,a parte que cada um recebe da presa da caça,,,Rudolph (1909)
tschin krom,"segura-o, agarra-o",,,Rudolph (1909)
tschin krom ankut,começar a comer,,,Rudolph (1909)
tschin krop,recatado,,a carne morde,Rudolph (1909)
tschin kui,que cheira e sabe bem,,,Rudolph (1909)
tschin kupan,fígado,,,Rudolph (1909)
tschin kuran,fome,,a carne ainda está a viajar,Rudolph (1909)
tschin kuran hijim,viajar,,,Rudolph (1909)
tschin mak,"um quarto caça abatida, que fica para o caçador",,,Rudolph (1909)
tschin man,"duro, rijo, encher",,,Rudolph (1909)
tschin men,"agarrar, segurar",,,Rudolph (1909)
tschin mot mot,encher,,,Rudolph (1909)
tschin nek,"isco, isca",,,Rudolph (1909)
tschin nik,gordura assada,,,Rudolph (1909)
tschin njep,eu tenho,,,Rudolph (1909)
tschin nuk,em jejum,,,Rudolph (1909)
tschin pe,procurar,,,Rudolph (1909)
tschin pip,encontrar,,,Rudolph (1909)
tschin pok,garganta,,,Rudolph (1909)
tschin pon,ouvir,,,Rudolph (1909)
tschin pram,"plantar, estômago",,,Rudolph (1909)
tschin rehe,a carne é boa,,,Rudolph (1909)
tschin ruk,muito,,,Rudolph (1909)
tschin schake schum,animais selvagens,,,Rudolph (1909)
tschin schorut,"puxar, afiar",,,Rudolph (1909)
tschin ta mu,trazer às costas,,,Rudolph (1909)
tschin tamu,afugentar a presa com passos barulhentos,,,Rudolph (1909)
tschin tãn,"bolsa, bras, capanga",,,Rudolph (1909)
tschin tan mum,rasto,,,Rudolph (1909)
tschin táo,estômago,,,Rudolph (1909)
tschin tip,carne crua,,,Rudolph (1909)
tschin tmim,"peito, tórax",,,Rudolph (1909)
tschin ton um,a carne é pior,,,Rudolph (1909)
tschin tscham pon,pendurar,,,Rudolph (1909)
tschin tschi,direita,,,Rudolph (1909)
tschin tschijan,falhar o alvo,,,Rudolph (1909)
tschin tschorot,puxar,,,Rudolph (1909)
tschin tum,papo,,,Rudolph (1909)
tschin we,"nos, nós",,,Rudolph (1909)
tschin wim pin,plantar,,,Rudolph (1909)
tschin wim pin tokonjan,semente de plantas,,,Rudolph (1909)
tschin wom ou wãóm,"podre, carne estragada",,,Rudolph (1909)
tschin wot,"cozinhar carne, ferver a carne",,,Rudolph (1909)
tschin wup,cheirar,,,Rudolph (1909)
tschin wup wup,"cheiro, cheirar",,,Rudolph (1909)
tschipo,"cipó, liana",,,Rudolph (1909)
tschipo jakischam,"timbó, liana",,,Rudolph (1909)
tscho et et,estrela,,,Rudolph (1909)
tschok,empurrar,,,Rudolph (1909)
tschok an,"mulher, esposa",,,Rudolph (1909)
tschokokan,gordura,,,Rudolph (1909)
tschom,gênero cyperus,,,Rudolph (1909)
tschon,"árvore, tronco de árvore",,,Rudolph (1909)
tschon a ku,"acender, incendiar",,,Rudolph (1909)
tschon aminkaki,flor,,,Rudolph (1909)
tschon ampein,"dividir, rachar",,,Rudolph (1909)
tschon ampok,madeira para armadilha,,,Rudolph (1909)
tschon anjat,"vara, chibata",,,Rudolph (1909)
tschon atãn,"vergar, torcer, dobrar",,,Rudolph (1909)
tschon hek,mato,,,Rudolph (1909)
tschon hingre,ramo,,ramo de árvore,Rudolph (1909)
tschon jat,"verga, vara, dormideira",,,Rudolph (1909)
tschon jipakischu,"barrigura, espécie de madeira",,,Rudolph (1909)
tschon jitak,"ponte, também raiz",,,Rudolph (1909)
tschon johok,"dobrar, torcer",,,Rudolph (1909)
tschon jopo,tronco de árvore,,,Rudolph (1909)
tschon jopok e,atrás,,,Rudolph (1909)
tschon jun jun,"aguçar, afiar madeira",,,Rudolph (1909)
tschon kaki,espécies de haplopus,,,Rudolph (1909)
tschon kam kam,folha,,,Rudolph (1909)
tschon kan kan,haplopus,,,Rudolph (1909)
tschon karan,ponta da flecha,,a madeira enfurecida,Rudolph (1909)
tschon kat,"casca da árvore, barco, canoa",,,Rudolph (1909)
tschon katak,cabana de folhas,,,Rudolph (1909)
tschon ke,cravinho-do-mato,,,Rudolph (1909)
tschon kle,urucu,,bixa orellana,Rudolph (1909)
tschon kma,árvore oca,,,Rudolph (1909)
tschon koém um,o fogo se apagou,,,Rudolph (1909)
tschon korit,erva,,,Rudolph (1909)
tschon kren,urucu,,,Rudolph (1909)
tschon kret,"jenipapo, fruto, fruta",,genipa americana,Rudolph (1909)
tschon kui,"imburana, a madeira fragrante",,genero bursera,Rudolph (1909)
tschon kuran,"parte do tubo na flecha, atirar",,a madeira que viaja,Rudolph (1909)
tschon mak,ramos,,,Rudolph (1909)
tschon man,"punir, castigar, abater árvores, madeira abatida",,,Rudolph (1909)
tschon mek,"farpa, lasca",,,Rudolph (1909)
tschon mere,cabana de folhas,,,Rudolph (1909)
tschon na inkante,luz,,,Rudolph (1909)
tschon pa,botoque,,,Rudolph (1909)
tschon pe en,"acender, incendiar",,,Rudolph (1909)
tschon pek,fogo,,,Rudolph (1909)
tschon pek a katak,atiçar o fogo,,,Rudolph (1909)
tschon pek ahui,atiçar o fogo,,,Rudolph (1909)
tschon pek aku,"acender, soprar o fogo",,,Rudolph (1909)
tschon pek ambruk nuk,não deixes o fogo apagar,,,Rudolph (1909)
tschon pek ampok,extinguir,,,Rudolph (1909)
tschon pek anok in koko,"fumo, fumaça",,anok = an nuk,Rudolph (1909)
tschon pek en,"acender, soprar o fogo",,,Rudolph (1909)
tschon pek haok a in,fogo claro,,,Rudolph (1909)
tschon pek haok in kante,luz,,,Rudolph (1909)
tschon pek in koko,"fumo, fumaça",,,Rudolph (1909)
tschon pek koém pen,extinguir o fogo,,,Rudolph (1909)
tschon pek koém un,o fogo se extinguiu,,,Rudolph (1909)
tschon pek kruk,"pequeno fogo, un pouco de fogo",,,Rudolph (1909)
tschon pek pram,carvão,,,Rudolph (1909)
tschon pek ramu,atiçar até fazer fogo,,,Rudolph (1909)
tschon pon,tronco da árvore enquanto ponte,,,Rudolph (1909)
tschon poron,mandioca,,,Rudolph (1909)
tschon pum,copaiba,,,Rudolph (1909)
tschon tan,em cima da árvore,,,Rudolph (1909)
tschon tan kren,cogumelo,,crânio calvo,Rudolph (1909)
tschon tap,"barco, canoa",,,Rudolph (1909)
tschon tat,"barco, canoa",,,Rudolph (1909)
tschon we nan,arco,,,Rudolph (1909)
tschon we nan jintak,corda do arco,,,Rudolph (1909)
tschonkle tschinkle,pintar com urucuk,,kle = kren,Rudolph (1909)
tschono johok,dobrar,,,Rudolph (1909)
tschopa,"flecha, também um nome de botocudo",,,Rudolph (1909)
tschopi,nome de homem,,,Rudolph (1909)
tschopu,gordo,,,Rudolph (1909)
tschu et et,pirilampo,,,Rudolph (1909)
tschuk,empurrar,,,Rudolph (1909)
tschum,"plano, liso, fogo, arder, queimar, bago, bagagem",,,Rudolph (1909)
tschum hãon,"empola, bolha de queimadura",,,Rudolph (1909)
tschum jan,"fogo, chumbo, bala, o que sai da espingarda",,,Rudolph (1909)
tschum koém pe,extinguir o fogo,,,Rudolph (1909)
tschum po,"queimadura, também a mão ferida por um tiro",,,Rudolph (1909)
tu,"para fora, fora",,,Rudolph (1909)
tu um,fechado,,,Rudolph (1909)
tuk,"mau, ruim, pulga",,,Rudolph (1909)
tuk kan,tucano,,,Rudolph (1909)
tum,"animais selvagens que podem ser caçados, pulga, bicho-de-pé",,,Rudolph (1909)
tum ame,matar a pulga,,,Rudolph (1909)
tum him po krom,bicho-de-pé,,pulga que morde o pé,Rudolph (1909)
tum njihi,pulga,,,Rudolph (1909)
tumim,"névoa, neblina, nevoeiro",,,Rudolph (1909)
tup,"novelo, rolha, ensopado",,tup = tap,Rudolph (1909)
tupan,nome de um botocudo narigudo,,tupan = tukan,Rudolph (1909)
tuvem,juriti,,,Rudolph (1909)
u,"grande, rápido, muito, bem, vermelho, alto, gordo",,,Rudolph (1909)
u u,"quente, suar, calor",,,Rudolph (1909)
u u anguim,muito frio,,,Rudolph (1909)
u u rehe,"repousar, descansar",,,Rudolph (1909)
ua mu,ele pode,,conjugado,Rudolph (1909)
uaha,homem,,,Rudolph (1909)
uan,"grito, gritar, falar alto, assobiar",,,Rudolph (1909)
uan,corpo,,,Rudolph (1909)
uan mu,o sibilar da serpente,,,Rudolph (1909)
uan pon,fica quieto,,,Rudolph (1909)
uham,"fedor, mau cheiro",,,Rudolph (1909)
ukonim,o que procuras,,,Rudolph (1909)
ukum,"irado, enfurecido",,,Rudolph (1909)
um,"par, pedir, pedir emprestado, emprestar",,,Rudolph (1909)
um pen,"corpo, cadáver",,,Rudolph (1909)
um pon,"rodar, enrolar",,,Rudolph (1909)
um pran,"tapir, anta",,,Rudolph (1909)
umap,"gafanhoto, cigarra",,,Rudolph (1909)
umap man,sabiá-do-campo,,,Rudolph (1909)
umeto,"objeto redondo, botoque do lábio de orelha",,,Rudolph (1909)
umeto uwin,jogo de bola,,unsure about spelling,Rudolph (1909)
umkum,tabaco,,,Rudolph (1909)
umkum man to hom,fumar tabaco,,,Rudolph (1909)
umpim,"iluminar, nascer do sol",,,Rudolph (1909)
umrin,"mesmo, próprio",,,Rudolph (1909)
umti,dá aqui,,,Rudolph (1909)
umti wen kan,deixa ver,,,Rudolph (1909)
un,"dar, emprestar",,,Rudolph (1909)
unkre,aqui,,,Rudolph (1909)
unkre,aqui,,,Rudolph (1909)
unkut,tartaruga,,,Rudolph (1909)
unkuwok,tribo makuk,,,Rudolph (1909)
up,"me dá, dar",,,Rudolph (1909)
up jokon,dar mais tarde,,,Rudolph (1909)
up nuk,ele não dá,,,Rudolph (1909)
upane,eu não dou nada,,,Rudolph (1909)
upanuk,eu não dou nada,,,Rudolph (1909)
upanun,eu não dou nada,,,Rudolph (1909)
upe,"dar, depois, mais tarde",,,Rudolph (1909)
upran,tapir,,muito pesado,Rudolph (1909)
uru puka,nome de tribo,,,Rudolph (1909)
uruchu,muito,,,Rudolph (1909)
uruhu,"muito, dois, forte, gordo, grande, comprido, ambos",,,Rudolph (1909)
uruhu pim,vê-se claramente,,,Rudolph (1909)
uruku,vermelho,,"vermelho, muito vermelho",Rudolph (1909)
us nus,nome de tribo no rio jequitonha,,,Rudolph (1909)
uwak,"branco, muito branco",,,Rudolph (1909)
uwan,"grande peixe carnivoro, traíra",,gênero macrodon,Rudolph (1909)
uwati,milho,,,Rudolph (1909)
uwati kuschi,arroz,,pequeno milho,Rudolph (1909)
uwatu,"vermelho, pirarucu, espécie de peixe",,,Rudolph (1909)
uwatu jikan,rio mucuri,,"rio onde se vê vermelho ou também ""pai do vermelho""",Rudolph (1909)
uwe,"deitar-se, estender-se",,,Rudolph (1909)
uwin,mentira,,,Rudolph (1909)
uwin nuk,verdade,,não minta,Rudolph (1909)
wa am,"distante, longe",,,Rudolph (1909)
wa mu,"ali, para ali",,,Rudolph (1909)
wa mu nuk,"faltar, falta",,,Rudolph (1909)
wa mu numrin,ele pode,,,Rudolph (1909)
waha,"núbil, homem, masculino",,,Rudolph (1909)
waham wam,nós queremos,,conjugado,Rudolph (1909)
wai akan,eu quero ver,,conjugado,Rudolph (1909)
wai akan mihi,"toma atenção, tem cuidado",,,Rudolph (1909)
waijik pok,gancho na ponta da flecha,,,Rudolph (1909)
wain,ir depressa,,,Rudolph (1909)
waischik,flecha,,que quer acertar,Rudolph (1909)
waischik mihim,grito de alarme: esta disparando flechas,,,Rudolph (1909)
waischik po,a cana utilizada para a flecha,,,Rudolph (1909)
waischik wei akan,grito de alarme: tenham cuidado com as flechas,,,Rudolph (1909)
wak,"branco, pálido, também cego, quando as pupilas estão brancas",,,Rudolph (1909)
wam,nós queremos,,conjugado,Rudolph (1909)
wam waham,nós queremos ir lá,,,Rudolph (1909)
wan,corpo,,,Rudolph (1909)
waom,"fedor, podre",,também waöm,Rudolph (1909)
wapok,anzol na flecha,,,Rudolph (1909)
we,"eu quero, tenciono, queria, devia, vou, posso",,conjugado,Rudolph (1909)
we akan,ver,,,Rudolph (1909)
we akan i,vê aqui,,,Rudolph (1909)
we hen,"tapar, fechar",,,Rudolph (1909)
we ina,ir depressa,,,Rudolph (1909)
we krlu,pedir,,,Rudolph (1909)
we kru,pedir,,,Rudolph (1909)
we om,"ele quer falar, perguntar",,,Rudolph (1909)
we pip,poder ver,,,Rudolph (1909)
we tamum numrin,estar saciado,,,Rudolph (1909)
we tamum numrin,estar saciado,,,Rudolph (1909)
wei akan,quero ver,,,Rudolph (1909)
wei akan mihi,tem cuidado,,,Rudolph (1909)
wek um,"pedindo, ele quer dar",,,Rudolph (1909)
wek wen,dobrar ramos para reconhecer o caminho,,,Rudolph (1909)
wintscha,"pôr, posto",,,Rudolph (1909)
wip,poder ver,,,Rudolph (1909)
wo,direita,,,Rudolph (1909)
wo wo tek tek,"mulher velha, avó",,não deriva do vovó,Rudolph (1909)
woa mono,no acredito nisso,,derive de woa mõn om: tu falas mal,Rudolph (1909)
woa mum,ele já veio,,,Rudolph (1909)
woa mum numrin,eu próprio,,,Rudolph (1909)
woam,"feder, cheirar mal",,,Rudolph (1909)
woap,beijar,,,Rudolph (1909)
wok,rápido,,,Rudolph (1909)
wok pok mum,beijar,,,Rudolph (1909)
wok pram,corrente,,,Rudolph (1909)
wok um,"se levantar, se movimentar",,,Rudolph (1909)
wot,"ferver, cozinhar",,,Rudolph (1909)
wua,eu quero,,,Rudolph (1909)
wup,beijar,,,Rudolph (1909)
"a pimping , athun",cedo,"am’ pimpĩ , antchune",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"a-‘rang, jâk",vazio,"arang, jeuk",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
â-á,soluço,eu-á,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
abatang mprat,abrir / abra a porta,abatang mprát,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ah-ah-rang inkuk mong,bater / b. ovos,a-a-han incúk moũ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
akâ,franco,acâ?,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
a-kân,generoso,acâ (?),,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ak-jek,quati,ak-jek,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ak-nhim,espirrar,ak-nhime,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
akon kren,goiaba,acón crene,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"akon, bakarék",goiaba / goiabeira,"acón, bakarék",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
akoró-ió,porco-espinho,acoró-ió,último ó breve,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
akré kon,estar / onde está?,acré cone?,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
âkrê kon nhép,onde / o. estás?,âcrê con’ nhiép (?),,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
akron,paca (coelogenys),acorón,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
a-kuang,viver,acuáng,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
am ‘re-reng,calar-se / guardar silêncio,ame re-heĩ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
am jokon nhing ning nuk krâ,vir / há muito que não venho cá,ame jocone nhik nĩ nuk crê,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
am oron,comprido / é c.,am’ orône,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
am oron,comprido,amorón,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
am pauu-ü,dissimular,am’ pawuý,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
am to-rong,"poeira, pó",áme to-hãu,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
am turrum,bolo,ame tu-húme,= coisa dobrada,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
am tu-rum,rolo,ame tu-hume (?),,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"am, im",ser,"áme, íme",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
amankut,comida,amancút,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
amankut anguin,acabar / acabou a comida,amancút anguin,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
amankut jithâk,cozido / a comida está pronta,amancút gicheuk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ama-pmrim,roçar,amapm’ rim,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ambung rat mapmá,ralo,ambũ (?) rat mapmah,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
amburu,estar / está frio,am’burú,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
amburu,frio / (substantivo),am’burú,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
amburu,frio,ampurú,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
ambuüm püm,plantação,ambuým pým,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
amethâk,frio / tempo f.,ametcheuk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"amgueron, nakró",grota,"am’gueron, nak’ró",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
amiaknhon,abóbora,amiaknon,kn nasal,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
am-jagü nuk,"muito mau, perdido","ám’jagy nuk, V. Mau",= é sem conhecimento,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"amjokon jikaram, jupu kinhing jokon","idade, tempo","am’jocône gicaram’, jupú knhin jocône","o primeiro = o muito passado, o segundo = mãe gente passada","Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
am-mbruk,acender / a. luz,ambrúk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
am-merek,abraço,am-merek,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"am-mnek, pam",melado,"am’nek, pãm",o primeiro = está doce,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
am-mpip nuk,cego,am’pipe nuk,= não ver,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
am-mrim,roça,am’m’rim,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
am-mrin,"campo, pasto",am’rin,= lugar de erva,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
amnim,lugar,am’nim’,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
am-nuk,nada,am’nuk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
am-nuk,pouco,amnúp,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
"am-nuk, kudhi",pequeno,"amnúp, cudgi","Para uma árvore pequena, meu intérprete em São Mateus me deu tyon’ñin-’ñin- ya-wit, que ele traduziu por “pau pequeno”. Nessa palavras, como eu a escrevo, a aspiração é como do h Inglês; o ñ é o do Espanhol; y e w como em Inglês.","Frassetto (2018), Charles Frederick Hartt (1865–1866) "
"amnup, am-nuk","não, eu não vou","amnúp, amnuck",,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
amp má pók,fechar / f. janela ou porta,am’ pmá pók,= está buraco fechar,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"amp up, jukiék, kiak jukiek",pagar,"ámp úp, jukjék, kjak jukjek",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ampâ,urubu,ampâ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ampâ,urubu,ampö,ö entre ö e ü alemães,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
ampâk,matar,ampâc,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"ampijik, majók",mandioca,"ampigik, majók",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ampim,"cerração, nevoeiro","am’píme, V. nevoeiro",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ampip,achar,ampíp,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"ampma, apók",porta,"ampmá, apók (?)",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ampmrang,inhambu/ i. mirim,ampm’ rang,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ampnhung,salsa,ampnhũ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
amru,bubão,amrú (?),,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
am-thâk,sombrio,amecheuk,= é fresco,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
am-thopong nuk,surdo,ametchopoũ nuk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
amthu,claro,amtchiú,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
amton,"lugar / l. feio, l. ruim",am’tône,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
amük,arrancar,amack,segundo a no céu da boca quase como ü,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
amup,"doação, dote",am’up,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"an thorót, nung gruk",puxar,"an tchorót, nũ gruk",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
aneng nung,"esquecer, esquecimento",aneĩ nũ,"= não lembrar, sem saudade","Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ang-gring,"arremessar, lançar",ang-gring,,"Frassetto (2018), Charles Frederick Hartt (1865–1866) "
angnouang,algodão,angnowáng,"ang como ack, tudo pelo nariz e mal distinto","Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
an-gogün,ranho,an-gogýne,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
angojin,"catarro, tosse, constipação, bronquite",ango-gíne,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
angorü,aranha,angorý,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
angorü pakiju,aranha / a. caranguejeira,angorý paquijú,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
angren,outros,angrêne,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
angrong,cascar,angróng,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
angtót,cozinhar,angtót,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
angu kinham,nuvem,angú kinháme,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
anguerong,serra,angueroũ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
anguin,acabar / acabou,anguin,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
anguiók kugü,jaó,anguiók cugy,= macaco pequeno,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
anguk nhung,nevoeiro,"angúk nhũ, V. Cerração",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
angupâ am,sombra / s. de árvore,angupâ áme,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
angutong,pano,angutoũ,vocábulo novo,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
anguün,"não / n. há, n. há mais",anguýn,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
anguün,ter / não,anguýn,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"anguüuók pakiju, pó-rong",macuco,"anguyuók pakijú, pó-haũ",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ãnhá prang,narrar,ãnhá prã,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
anhampram,conversar,anhamprám,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
anhapmang,vigiar,"anhapmã, V. Olhar",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
